Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Estimated population resident 2009,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women councillors
(N)","Women councillors
(%)",Unfilled positions
AUCKLAND,AUCKLAND COUNCIL,RODNEY,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,4,4.00,"37,359","20,298",1,25.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"37,120",239,0.64%,"37,359",54100,69.1%,"37,120",239,"37,359","20,070",54.1%,228,95.4%,"20,298",54.3%,192,1.0%,30,13.2%,222,1.1%,87,45.3%,17,56.7%,104,46.8%,22,0.1%,779,3.8%,801,3.9%,2,50.0%,1,100.0%,
AUCKLAND,AUCKLAND COUNCIL,WAITAKERE,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,9,4.50,"51,052","24,199",3,33.3%,,,1,50.0%,1,,0,0.0%,0,0.0%,"101,987",116,0.11%,"102,103",158700,64.3%,"101,987",116,"102,103","48,279",47.3%,118,101.7%,"48,397",47.4%,719,1.5%,24,20.3%,743,1.5%,313,43.5%,15,62.5%,328,44.1%,74,0.2%,"2,494",5.2%,"2,568",5.3%,5,55.6%,2,100.0%,
AUCKLAND,AUCKLAND COUNCIL,WAITEMATA AND GULF,CC,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,6,6.00,"52,688","27,036",0,0.0%,,,0,0.0%,0,,0,0.0%,0,0.0%,"52,280",408,0.77%,"52,688",79300,66.4%,"52,280",408,"52,688","26,632",50.9%,404,99.0%,"27,036",51.3%,721,2.7%,54,13.4%,775,2.9%,321,44.5%,34,63.0%,355,45.8%,53,0.2%,"2,134",7.9%,"2,187",8.1%,1,16.7%,0,0.0%,
AUCKLAND,AUCKLAND COUNCIL,WHAU,CC,FPP,n,Auckland,Metro,City,l,Y,12.23 pm,11.27 pm,Alphabetical,N/A,N/A,"959,120","12,329","1,557",Contested,1,0,4,4.00,"50,036","24,472",2,50.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"49,984",52,0.10%,"50,036",76400,65.5%,"49,984",52,"50,036","24,426",48.9%,46,88.5%,"24,472",48.9%,379,1.6%,4,8.7%,383,1.6%,174,45.9%,4,100.0%,178,46.5%,74,0.3%,"2,466",10.1%,"2,540",10.4%,2,50.0%,1,100.0%,
AUCKLAND,BIRKENHEAD LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,11,1.83,"3,431","1,688",,,,,,,,,5,45.5%,5,83.3%,"20,586",,,"20,586",,,"20,586",,"20,586","10,130",49.2%,,,"10,130",49.2%,115,1.1%,,,115,1.1%,53,46.1%,,,53,46.1%,54,0.5%,"1,519",15.0%,"1,573",15.5%,4,36.4%,2,33.3%,
AUCKLAND,MT WELLINGTON LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,7,1.17,"3,368","1,548",,,,,,,,,5,71.4%,5,83.3%,"20,207",,,"20,207",,,"20,207",,"20,207","9,290",46.0%,,,"9,290",46.0%,150,1.6%,,,150,1.6%,35,23.3%,,,35,23.3%,11,0.1%,"1,226",13.2%,"1,237",13.3%,5,71.4%,4,66.7%,
AUCKLAND,PARAKAI LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,6,6,6,1.00,945,,,,,,,,,,5,83.3%,5,83.3%,"5,672",,,"5,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.3%,2,33.3%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 1 AUCKLAND CITY,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,8,2.67,"10,884","5,285",,,,,,,,,2,25.0%,2,66.7%,"32,653",,,"32,653",,,"32,653",,"32,653","15,854",48.6%,,,"15,854",48.6%,272,1.7%,,,272,1.7%,116,42.6%,,,116,42.6%,33,0.2%,"2,098",13.2%,"2,131",13.4%,4,50.0%,2,66.7%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 2 NEW LYNN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,2,2,2,1.00,"5,653",,,,,,,,,,2,100.0%,2,100.0%,"11,306",,,"11,306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 3 GLEN EDEN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,3,1.50,"4,660","2,104",,,,,,,,,1,33.3%,0,0.0%,"9,319",,,"9,319",,,"9,319",,"9,319","4,207",45.1%,,,"4,207",45.1%,58,1.4%,,,58,1.4%,28,48.3%,,,28,48.3%,9,0.2%,553,13.1%,562,13.4%,2,66.7%,1,50.0%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 4 TITIRANGI-GREEN BAY,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,5,2.50,"8,785","4,899",,,,,,,,,2,40.0%,1,50.0%,"17,569",,,"17,569",,,"17,569",,"17,569","9,798",55.8%,,,"9,798",55.8%,154,1.6%,,,154,1.6%,80,51.9%,,,80,51.9%,7,0.1%,"1,477",15.1%,"1,484",15.1%,1,20.0%,1,50.0%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 5 KELSTON WEST,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,1,1,1,1.00,"7,690",,,,,,,,,,1,100.0%,1,100.0%,"7,690",,,"7,690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.0%,1,100.0%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 1 TE ATATU,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,0,5,2.50,"11,174","5,396",,,,,,,,,2,40.0%,1,50.0%,"22,348",,,"22,348",,,"22,348",,"22,348","10,791",48.3%,,,"10,791",48.3%,153,1.4%,,,153,1.4%,63,41.2%,,,63,41.2%,14,0.1%,"1,385",12.8%,"1,399",13.0%,2,40.0%,1,50.0%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 2 LINCOLN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,0,5,1.67,"12,116","5,390",,,,,,,,,2,40.0%,2,66.7%,"36,349",,,"36,349",,,"36,349",,"36,349","16,170",44.5%,,,"16,170",44.5%,194,1.2%,,,194,1.2%,70,36.1%,,,70,36.1%,15,0.1%,"1,940",12.0%,"1,955",12.1%,1,20.0%,1,33.3%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 3 WAITAKERE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,5,5.00,"14,764","7,280",,,,,,,,,0,0.0%,0,0.0%,"14,764",,,"14,764",,,"14,764",,"14,764","7,280",49.3%,,,"7,280",49.3%,111,1.5%,,,111,1.5%,55,49.5%,,,55,49.5%,21,0.3%,"1,128",15.5%,"1,149",15.8%,1,20.0%,1,100.0%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 4 HENDERSON,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,4,4.00,"15,231","7,344",,,,,,,,,1,25.0%,1,100.0%,"15,231",,,"15,231",,,"15,231",,"15,231","7,344",48.2%,,,"7,344",48.2%,91,1.2%,,,91,1.2%,35,38.5%,,,35,38.5%,18,0.2%,930,12.7%,948,12.9%,0,0.0%,0,0.0%,
AUCKLAND,WIRI LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,0,17,2.83,"7,075","3,346",,,,,,,,,5,29.4%,3,50.0%,"42,452",,,"42,452",,,"42,452",,"42,452","20,075",47.3%,,,"20,075",47.3%,254,1.3%,,,254,1.3%,133,52.4%,,,133,52.4%,147,0.7%,"1,751",8.7%,"1,898",9.5%,5,29.4%,2,33.3%,
AUCKLAND,AUCKLAND COUNCIL,AT LARGE,MAYOR,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,0,22,22.00,"959,120","489,059",4,18.2%,2,Re-elected,1,100.0%,1,,,,,,"957,490","1,630",0.17%,"959,120",1438600,66.7%,"957,490","1,630","959,120","487,485",50.9%,"1,574",96.6%,"489,059",51.0%,"6,872",1.4%,307,19.5%,"7,179",1.5%,"2,997",43.6%,125,40.7%,"3,122",43.5%,"1,304",0.3%,"4,073",0.8%,"5,377",1.1%,6,27.3%,0,0.0%,
AUCKLAND DHB,AUCKLAND DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Auckland,DHB,DHB,,N,N/A,10th October 11.33 am,Alphabetical,,,,,,Contested,7,0,18,2.57,"42,773","22,094",,,,,,,,,6,33.3%,3,42.9%,"299,410",,,"299,410",444100,67.4%,"299,410",,"299,410","154,656",51.7%,,,"154,656",51.7%,"2,732",1.8%,,,2732,1.8%,"1,195",43.7%,,,1195,43.7%,"11,265",7.3%,"26,710",17.3%,"37,975",24.6%,9,50.0%,5,71.4%,
BAY OF PLENTY DHB,BAY OF PLENTY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Bay of Plenty,DHB,DHB,,N,N/A,10th October 2.14 pm,Pseudo-random,,,,,,Contested,7,0,18,2.57,"20,427","9,517",,,,,,,,,5,27.8%,5,71.4%,"142,987",,,"142,987",207700,68.8%,"142,987",,"142,987","66,618",46.6%,,,"66,618",46.6%,601,0.9%,,,601,0.9%,361,60.1%,,,361,60.1%,"7,278",10.9%,"4,940",7.4%,"12,218",18.3%,5,27.8%,2,28.6%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,EASTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,2,0,5,2.50,"11,236","7,172",2,40.0%,,,2,100.0%,,,,,,,"22,431",40,0.18%,"22,471",50400,44.6%,"22,431",40,"22,471","14,299",63.7%,45,112.5%,"14,344",63.8%,230,1.6%,32,71.1%,262,1.8%,156,67.8%,23,71.9%,179,68.3%,34,0.2%,740,5.2%,774,5.4%,0,0.0%,0,0.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,KOHI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,0,3,3.00,"9,151","3,788",1,33.3%,,,1,100.0%,,,,,,,"9,151",,0.00%,"9,151",,,"9,151",0,"9,151","3,788",41.4%,,,"3,788",41.4%,62,1.6%,,,62,1.6%,40,64.5%,,,40,64.5%,23,0.6%,218,5.8%,241,6.4%,0,0.0%,0,0.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,MAUAO MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,0,2,2.00,"9,003","2,394",1,50.0%,,,1,100.0%,,,,,,,"9,003",,0.00%,"9,003",,,"9,003",0,"9,003","2,394",26.6%,,,"2,394",26.6%,9,0.4%,,,9,0.4%,9,100.0%,,,9,100.0%,2,0.1%,184,7.7%,186,7.8%,1,50.0%,1,100.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,OKUREI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,0,8,8.00,"9,644","3,072",1,12.5%,,,1,100.0%,,,,,,,"9,644",,0.00%,"9,644",,,"9,644",0,"9,644","3,072",31.9%,,,"3,072",31.9%,30,1.0%,,,30,1.0%,19,63.3%,,,19,63.3%,78,2.5%,97,3.2%,175,5.7%,0,0.0%,0,0.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,ROTORUA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,2,0,4,2.00,"16,273","7,702",1,25.0%,,,1,50.0%,,,,,,,"32,425",121,0.37%,"32,546",64600,50.4%,"32,425",121,"32,546","15,311",47.2%,92,76.0%,"15,403",47.3%,247,1.6%,4,4.3%,251,1.6%,212,85.8%,3,75.0%,215,85.7%,11,0.1%,794,5.2%,805,5.2%,0,0.0%,0,0.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,TAURANGA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,4,0,9,2.25,"18,552","8,383",4,44.4%,,,2,50.0%,,,,,,,"74,155",51,0.07%,"74,206",112600,65.9%,"74,155",51,"74,206","33,489",45.2%,43,84.3%,"33,532",45.2%,234,0.7%,24,55.8%,258,0.8%,232,99.1%,22,91.7%,254,98.4%,39,0.1%,"2,186",6.5%,"2,225",6.6%,3,33.3%,1,25.0%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,WESTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,Y,1.30 pm,9.00 pm,Pseudo-random,N/A,N/A,,,,Contested,2,0,4,2.00,"14,249","5,393",2,50.0%,,,2,100.0%,,,,,,,"28,247",251,0.88%,"28,498",44800,63.6%,"28,247",251,"28,498","10,589",37.5%,196,78.1%,"10,785",37.8%,59,0.6%,10,5.1%,69,0.6%,30,50.8%,7,70.0%,37,53.6%,36,0.3%,747,6.9%,783,7.3%,1,25.0%,1,50.0%,
BULLER DISTRICT,INANGAHUA COMMUNITY BOARD,AT LARGE,CB,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1.00,348,,,,,,,,,,4,100.0%,4,100.0%,"1,375",16,1.15%,"1,391",2000,69.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75.0%,3,75.0%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,INANGAHUA,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1.00,696,,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"1,375",16,1.15%,"1,391",2000,69.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,SEDDON,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,2,0,4,2.00,655,356,2,50.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"1,294",16,1.22%,"1,310",1730,75.7%,"1,294",16,"1,310",701,54.2%,11,68.8%,712,54.4%,5,0.7%,0,0.0%,5,0.7%,5,100.0%,0,,5,100.0%,21,2.9%,0,0.0%,21,2.9%,2,50.0%,1,50.0%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,WESTPORT,DC,FPP,s,West Coast,Rural,District,,N,N/A,2.00 pm,Pseudo-random,Development West Coast,N/A,"7,311",75,26,Contested,6,0,18,3.00,768,497,6,33.3%,,,4,66.7%,4,,0,0.0%,0,0.0%,"4,592",18,0.39%,"4,610",6280,73.4%,"4,592",18,"4,610","2,965",64.6%,17,94.4%,"2,982",64.7%,36,1.2%,3,17.6%,39,1.3%,36,100.0%,3,100.0%,39,100.0%,19,0.6%,79,2.6%,98,3.3%,4,22.2%,1,16.7%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,1,0,2,2.00,"7,311","4,263",1,50.0%,0,Re-elected,1,100.0%,1,,,,,,"7,261",50,0.68%,"7,311",10010,73.0%,"7,261",50,"7,311","4,222",58.1%,41,82.0%,"4,263",58.3%,45,1.1%,3,7.3%,48,1.1%,45,100.0%,3,100.0%,48,100.0%,2,0.0%,167,3.9%,169,4.0%,0,0.0%,0,0.0%,
BULLER DISTRICT,WEST COAST DEVELOPMENT TRUST,BULLER,OTHER,FPP,s,West Coast,Rural,District,,,,,Pseudo-random,,,,,,Contested,1,0,3,3.00,"7,311","4,255",,,,,,,,,1,33.3%,1,100.0%,"7,261",50,0.68%,"7,311",10010,73.0%,"7,261",50,"7,311","4,223",58.2%,32,64.0%,"4,255",58.2%,45,1.1%,3,9.4%,48,1.1%,45,100.0%,3,100.0%,48,100.0%,41,1.0%,318,7.5%,359,8.4%,0,0.0%,0,0.0%,
CANTERBURY DHB,CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,Y,5.06 pm,10th October 5.04 pm,Random,,,,,,Contested,7,0,28,4.00,"49,430","25,134",,,,,,,,,7,25.0%,4,57.1%,"346,007",,,"346,007",502000,68.9%,"346,007",,"346,007","175,940",50.8%,,,"175,940",50.8%,"1,496",0.9%,,,1496,0.9%,"1,464",97.9%,,,1464,97.9%,"10,096",5.7%,"23,244",13.2%,"33,340",18.9%,10,35.7%,3,42.9%,
CAPITAL COAST DHB,CAPITAL COAST DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,N,N/A,9.30 pm,Random,,,,,,Contested,7,0,20,2.86,"28,681","11,773",,,,,,,,,6,30.0%,5,71.4%,"200,768",,,"200,768",288100,69.7%,"200,768",,"200,768","82,411",41.0%,,,"82,411",41.0%,"1,145",1.4%,,,1145,1.4%,942,82.3%,,,942,82.3%,"2,297",2.8%,"8,874",10.8%,"11,171",13.6%,9,45.0%,5,71.4%,
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,CARTERTON RURAL,DC,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,3,0,4,1.33,822,463,3,75.0%,,,2,66.7%,2,,,,,,"2,452",14,0.57%,"2,466",3210,76.8%,"2,452",14,"2,466","1,377",56.2%,12,85.7%,"1,389",56.3%,6,0.4%,2,16.7%,8,0.6%,6,100.0%,2,100.0%,8,100.0%,1,0.1%,36,2.6%,37,2.7%,1,25.0%,1,33.3%,
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,CARTERTON URBAN,DC,FPP,n,Wellington,Rural,District,,Y,1.00 pm,14th October 4.00 pm ,Alphabetical,N/A,N/A,"5,911",49,11,Contested,5,0,8,1.60,689,393,5,62.5%,,,5,100.0%,5,,,,,,"3,426",19,0.55%,"3,445",4210,81.8%,"3,426",19,"3,445","1,947",56.8%,16,84.2%,"1,963",57.0%,17,0.9%,2,12.5%,19,1.0%,17,100.0%,2,100.0%,19,100.0%,3,0.2%,46,2.3%,49,2.5%,3,37.5%,1,20.0%,
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,"5,911","3,352",2,66.7%,2,Stood down,0,0.0%,0,,,,,,"5,878",33,0.56%,"5,911",7420,79.7%,"5,878",33,"5,911","3,324",56.5%,28,84.8%,"3,352",56.7%,23,0.7%,4,14.3%,27,0.8%,23,100.0%,4,100.0%,27,100.0%,6,0.2%,31,0.9%,37,1.1%,1,33.3%,0,0.0%,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,ARAMOANA-RUAHINE,DC,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,Contested,4,0,6,1.50,"1,137",649,3,50.0%,,,3,75.0%,3,,,,,,"4,518",28,0.62%,"4,546",6510,69.8%,"4,518",28,"4,546","2,570",56.9%,26,92.9%,"2,596",57.1%,13,0.5%,4,15.4%,17,0.7%,13,100.0%,4,100.0%,17,100.0%,4,0.2%,60,2.3%,64,2.5%,1,16.7%,1,25.0%,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,RUATANIWHA,DC,FPP,n,Hawke's Bay,Rural,District,,Y,1.00 pm,10th October 4.00 pm,Alphabetical,N/A,N/A,"9,340",92,12,Contested,4,0,6,1.50,"1,199",662,3,50.0%,,,3,75.0%,3,,,,,,"4,788",6,0.13%,"4,794",6860,69.9%,"4,788",6,"4,794","2,643",55.2%,6,100.0%,"2,649",55.3%,13,0.5%,0,0.0%,13,0.5%,12,92.3%,0,,12,92.3%,2,0.1%,65,2.5%,67,2.5%,2,33.3%,1,25.0%,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,"9,340","5,245",2,66.7%,1,Defeated,0,0.0%,0,,,,,,"9,306",34,0.36%,"9,340",13370,69.9%,"9,306",34,"9,340","5,213",56.0%,32,94.1%,"5,245",56.2%,26,0.5%,4,12.5%,30,0.6%,25,96.2%,4,100.0%,29,96.7%,6,0.1%,49,0.9%,55,1.0%,1,33.3%,0,0.0%,
CENTRAL OTAGO DISTRICT,CROMWELL COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,4,0,6,1.50,"1,078",502,,,,,,,,,2,33.3%,2,50.0%,"4,281",30,0.70%,"4,311",5700,75.6%,"4,281",30,"4,311","1,972",46.1%,34,113.3%,"2,006",46.5%,11,0.6%,10,29.4%,21,1.0%,10,90.9%,8,80.0%,18,85.7%,2,0.1%,21,1.0%,23,1.1%,1,16.7%,1,25.0%,
CENTRAL OTAGO DISTRICT,MANIOTOTO COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,4,0,5,1.25,318,208,,,,,,,,,3,60.0%,2,50.0%,"1,237",35,2.75%,"1,272",1740,73.1%,"1,237",35,"1,272",796,64.3%,35,100.0%,831,65.3%,6,0.8%,0,0.0%,6,0.7%,6,100.0%,0,,6,100.0%,0,0.0%,4,0.5%,4,0.5%,2,40.0%,2,50.0%,
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,ALEXANDRA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,447",,,,,,,,,,1,33.3%,1,33.3%,"4,322",18,0.41%,"4,340",1640,73.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.3%,1,33.3%,
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,EARNSCLEUGH-MANUHERIKIA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,219",,,,,,,,,,1,50.0%,1,50.0%,"2,412",26,1.07%,"2,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
CENTRAL OTAGO DISTRICT,ROXBURGH COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,302,,,,,,,,,,3,100.0%,3,75.0%,"1,203",4,0.33%,"1,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.3%,1,25.0%,1
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,ALEXANDRA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,447",,2,66.7%,,,2,66.7%,2,,1,33.3%,1,33.3%,"4,322",18,0.41%,"4,340",5530,78.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,CROMWELL,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,3,3,3,1.00,"1,437",,3,100.0%,,,3,100.0%,3,,0,0.0%,0,0.0%,"4,281",30,0.70%,"4,311",5700,75.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,EARNSCLEUGH-MANUHERIKIA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1.00,"1,219",,2,100.0%,,,2,100.0%,2,,0,0.0%,0,0.0%,"2,412",26,1.07%,"2,438",3340,73.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.0%,1,50.0%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,MANIOTOTO,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1.00,"1,272",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,237",35,2.75%,"1,272",1740,73.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,ROXBURGH,DC,FPP,s,Otago,Rural,District,,N,N/A,2.30 pm,Alphabetical,Central Otago Health Inc.,N/A,"13,568",113,21,Unopposed,1,1,1,1.00,"1,207",,1,100.0%,,,1,100.0%,1,,0,0.0%,0,0.0%,"1,203",4,0.33%,"1,207",1640,73.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0%,0,0.0%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,1,0,3,3.00,"13,568","7,877",2,66.7%,2,Defeated,0,0.0%,1,,,,,,"13,455",113,0.83%,"13,568",17950,75.6%,"13,455",113,"13,568","7,756",57.6%,121,107.1%,"7,877",58.1%,34,0.4%,21,17.4%,55,0.7%,33,97.1%,19,90.5%,52,94.5%,12,0.2%,126,1.6%,138,1.8%,0,0.0%,0,0.0%,
CHATHAM ISLANDS DISTRICT,CHATHAM ISLANDS TERRITORY COUNCIL,AT LARGE,DC,FPP,s,Chatham Islands,Rural,District,,N,N/A,5.15 pm,Alphabetical,N/A,N/A,363,3,0,Contested,8,0,14,1.75,"1,696",32,5,35.7%,,,4,50.0%,4,55.6%,,,,,"13,455",113,0.83%,"13,568",640,55.9%,"13,455",113,"13,568",252,1.9%,6,5.3%,258,1.9%,9,3.6%,0,0.0%,9,3.5%,9,100.0%,0,,9,100.0%,1,0.4%,1,0.4%,2,0.8%,4,28.6%,2,25.0%,
