Area,Authority,ward,Type,Electoral system,Island,Region,Area type,TA Type,City Size,Progress results issued,Progress results time,Preliminary results announced,Voting papers order,Other elections were:,Poles were:,Number of documents sent,Number of documents returned unopened,Number of documents returned late,Contested wards,"Positions 
(N)","Elected unopposed 
(N)","Candidates 
(N)",Candidates per position,Electors per electable position,Voters per electable contested position,"Candidates Council sitting members 
(N)","Candidates Council sitting members 
(%)","Also candidates for Council
(N)",Sitting Mayor,Mayor/ Council members re-elected (N),"Mayor/ Council members re-elected
(%)",Council members re-elected or Mayor (N),"Council members re-elected or Mayor
(%)","Candidates (community) board members 
(N)","Candidates (community) board members 
(%)","(Community) board members elected 
(N)","(Community) board members elected 
(%)","Residential electors 
(N)","Ratepayer electors 
(N)","Ratepayer electors 
(%)","Total electors 
(N)",Population resident 2013,Electors as % of total population,Residential electors (contested wards only),Ratepayer electors (contested wards only),Total electors (Contested wards only),"Residential voters 
(N)","Residential turnout 
(%)","Ratepayer voters 
(N)","Ratepayer turnout 
(%)","Total voters 
(N)",Overall turnout (%),"Residential special votes cast 
(N)","Residential special votes cast 
(%)","Ratepayer special votes cast 
(N)","Ratepayer special votes cast 
(%)","Total special votes cast 
(N)","Total special votes cast 
(%)","Residential special votes allowed 
(N)","Residential special votes allowed 
(%)","Ratepayer special votes allowed 
(N)","Ratepayer special votes allowed 
(%)","Total special votes allowed 
(N)","Total special votes allowed 
(%)","Informal votes
(N)","Informal votes
(%)","Blank votes 
(N)","Blank votes 
(%)","Blank and informal votes 
(N)","Blank and informal votes 
(%)","Women candidates
(N)","Women candidates
(%)","Women elected
(N)","Women elected
(%)",Unfilled positions
AUCKLAND,MT WELLINGTON LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,9,1.5,"3,463","1,144",,,,,,,,,4,44.40%,4,66.70%,"20,780",,,"20,780",,,"20,780",,"20,780","6,864",33.00%,,,"6,864",33.00%,55,0.80%,,,55,0.80%,43,78.20%,,,43,78.20%,12,0.20%,618,9.00%,630,9.20%,6,66.70%,4,66.70%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 1 AUCKLAND CITY,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,10,3.33,"11,132","3,754",,,,,,,,,3,30.00%,2,66.70%,"33,397",,,"33,397",,,"33,397",,"33,397","11,261",33.70%,,,"11,261",33.70%,121,1.10%,,,121,1.10%,91,75.20%,,,91,75.20%,40,0.40%,980,8.70%,"1,020",9.10%,4,40.00%,2,66.70%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 2 NEW LYNN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,2,2,2,1,"5,767",,,,,,,,,,1,50.00%,1,50.00%,"11,534",,,"11,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 3 GLEN EDEN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,4,2,"4,938","1,538",,,,,,,,,2,50.00%,2,100.00%,"9,875",,,"9,875",,,"9,875",,"9,875","3,075",31.10%,,,"3,075",31.10%,30,1.00%,,,30,1.00%,23,76.70%,,,23,76.70%,2,0.10%,204,6.60%,206,6.70%,2,50.00%,1,50.00%,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 4 TITIRANGI-GREEN BAY,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,7,3.5,"8,962","3,593",,,,,,,,,1,14.30%,1,50.00%,"17,923",,,"17,923",,,"17,923",,"17,923","7,186",40.10%,,,"7,186",40.10%,60,0.80%,,,60,0.80%,44,73.30%,,,44,73.30%,8,0.10%,674,9.40%,682,9.50%,3,42.90%,0,,
AUCKLAND,PORTAGE LICENSING TRUST,WARD 5 KELSTON WEST,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,1,1,1,1,"8,090",,,,,,,,,,1,100.00%,1,100.00%,"8,090",,,"8,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 1 TE ATATU,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,2,,7,3.5,"11,586","4,021",,,,,,,,,2,28.60%,1,50.00%,"23,172",,,"23,172",,,"23,172",,"23,172","8,041",34.70%,,,"8,041",34.70%,83,1.00%,,,83,1.00%,58,69.90%,,,58,69.90%,16,0.20%,404,5.00%,420,5.20%,3,42.90%,0,0.00%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 2 LINCOLN,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,3,,4,1.33,"12,598","3,852",,,,,,,,,3,75.00%,3,100.00%,"37,794",,,"37,794",,,"37,794",,"37,794","11,555",30.60%,,,"11,555",30.60%,115,1.00%,,,115,1.00%,79,68.70%,,,79,68.70%,6,0.10%,725,6.30%,731,6.30%,1,25.00%,1,33.30%,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 3 WAITAKERE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,5,5,"15,684","5,535",,,,,,,,,1,20.00%,,,"15,684",,,"15,684",,,"15,684",,"15,684","5,535",35.30%,,,"5,535",35.30%,67,1.20%,,,67,1.20%,59,88.10%,,,59,88.10%,34,0.60%,492,8.90%,526,9.50%,2,40.00%,0,,
AUCKLAND,WAITAKERE LICENSING TRUST,WARD 4 HENDERSON,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Unopposed,1,1,1,1,"15,957",,,,,,,,,,1,100.00%,1,100.00%,"15,957",,,"15,957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00%,0,,
AUCKLAND,WIRI LICENSING TRUST,AT LARGE,LT,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,6,,7,1.17,"7,287","2,193",,,,,,,,,3,42.90%,3,50.00%,"43,720",,,"43,720",,,"43,720",,"43,720","13,155",30.10%,,,"13,155",30.10%,101,0.80%,,,101,0.80%,72,71.30%,,,72,71.30%,15,0.10%,827,6.30%,842,6.40%,1,14.30%,1,16.70%,
AUCKLAND,AUCKLAND COUNCIL,AT LARGE,MAYOR,FPP,n,Auckland,Metro,City,l,,,,,,,,,,Contested,1,,17,17,"994,022","352,656",,,3,Re-elected,1,100.00%,1,,,,,,"993,619",403,0.04%,"994,022","1,415,550",70.20%,"993,619",403,"994,022","352,319",35.50%,337,83.60%,"352,656",35.50%,"3,297",0.90%,21,6.20%,"3,318",0.90%,"2,472",75.00%,13,61.90%,"2,485",74.90%,"1,584",0.40%,"7,147",2.00%,"8,731",2.50%,4,23.50%,0,,
AUCKLAND DHB,AUCKLAND DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Auckland,DHB,DHB,,N,N/A,13th October 2.30 am,Alphabetical,,,,,,Contested,7,,27,3.86,"43,758","16,036",,,,,,,,,6,22.20%,3,42.90%,"306,305",,,"306,305","467,900",65.50%,"306,305",,"306,305","112,254",36.60%,,,"112,254",36.60%,"1,370",1.20%,,,1370,1.20%,"1,049",76.60%,,,1049,76.60%,"10,325",9.20%,"14,224",12.70%,"24,549",21.90%,9,33.30%,4,57.10%,
BAY OF PLENTY DHB,BAY OF PLENTY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Bay of Plenty,DHB,DHB,,Y,1.00 pm,14th October 9.00 am,Random,,,,,,Contested,7,,19,2.71,"21,252","8,501",,,,,,,,,5,26.30%,5,71.40%,"148,762",,,"148,762","212,900",69.90%,"148,762",,"148,762","59,507",40.00%,,,"59,507",40.00%,626,1.10%,,,626,1.10%,552,88.20%,,,552,88.20%,"5,736",9.60%,"4,296",7.20%,"10,032",16.90%,10,52.60%,3,42.90%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,EASTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,2,,4,2,"11,052","6,173",1,25.00%,,,,,,,,,,,"22,071",32,0.14%,"22,103","49,600",44.60%,"22,071",32,"22,103","12,321",55.80%,25,78.10%,"12,346",55.90%,164,1.30%,1,4.00%,165,1.30%,121,73.80%,1,100.00%,122,73.90%,21,0.20%,725,5.90%,746,6.00%,0,,0,,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,KOHI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"9,995","3,215",1,25.00%,,,1,100.00%,,,,,,,"9,994",1,0.01%,"9,995",,,"9,994",1,"9,995","3,214",32.20%,1,100.00%,"3,215",32.20%,46,1.40%,1,100.00%,47,1.50%,44,95.70%,,,44,93.60%,98,3.00%,121,3.80%,219,6.80%,2,50.00%,0,,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,MAUAO MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,,4,4,"9,397","1,918",1,25.00%,,,,,,,,,,,"9,397",,,"9,397",,,"9,397",,"9,397","1,918",20.40%,,,"1,918",20.40%,13,0.70%,,,13,0.70%,13,100.00%,,,13,100.00%,23,1.20%,74,3.90%,97,5.10%,1,25.00%,0,,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,OKUREI MAORI,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,1,,5,5,"10,691","3,231",1,20.00%,,,,,,,,,,,"10,685",6,0.06%,"10,691",,,"10,685",6,"10,691","3,225",30.20%,6,100.00%,"3,231",30.20%,,,,,,,,,,,30,,84,2.60%,152,4.70%,236,7.30%,1,20.00%,0,,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,ROTORUA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,2,,3,1.5,"16,424","7,985",2,66.70%,,,2,100.00%,,,,,,,"32,766",81,0.25%,"32,847","65,100",50.50%,"32,766",81,"32,847","15,888",48.50%,81,100.00%,"15,969",48.60%,,,,,,,,,,,132,,19,0.10%,"1,530",9.60%,"1,549",9.70%,0,,,,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,TAURANGA,RC,FPP,n,Bay of Plenty,Regional,Regional,,,,,,,,,,,Contested,5,,10,2,"15,624","6,159",4,40.00%,,,4,80.00%,,,,,,,"78,084",37,0.05%,"78,121","117,600",66.40%,"78,084",37,"78,121","30,760",39.40%,35,94.60%,"30,795",39.40%,,,,,,,,,,,313,,54,0.20%,"2,404",7.80%,"2,458",8.00%,1,10.00%,1,20.00%,
BAY OF PLENTY REGION,BAY OF PLENTY REGIONAL COUNCIL,WESTERN BAY OF PLENTY,RC,FPP,n,Bay of Plenty,Regional,Regional,,Y,4.11 pm,14th October 8.33 am,Pseudo-random,N/A,N/A,N/A,N/A,N/A,Contested,2,,5,2.5,"14,722","5,732",1,20.00%,,,1,50.00%,,,,,,,"29,216",228,0.77%,"29,444","45,800",64.30%,"29,216",228,"29,444","11,302",38.70%,162,71.10%,"11,464",38.90%,66,0.60%,1,0.60%,67,0.60%,61,92.40%,1,100.00%,62,92.50%,62,0.50%,996,8.70%,"1,058",9.20%,1,20.00%,1,50.00%,
BULLER DISTRICT,INANGAHUA COMMUNITY BOARD,AT LARGE,CB,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1,347,,,,,,,,,,4,100.00%,4,100.00%,"1,386",,,"1,386","1,940",71.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,50.00%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,INANGAHUA,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Unopposed,2,2,2,1,693,,2,100.00%,,,2,100.00%,2,,,,,,"1,376",10,0.72%,"1,386","2,067",67.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,SEDDON,DC,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,2,,4,2,667,356,2,50.00%,,,2,100.00%,2,,,,,,"1,323",10,0.75%,"1,333","1,758",75.80%,"1,323",10,"1,333",701,53.00%,11,110.00%,712,53.40%,5,0.70%,,,5,0.70%,5,100.00%,,,5,100.00%,21,2.90%,,,21,2.90%,2,50.00%,1,50.00%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,WESTPORT,DC,FPP,s,West Coast,Rural,District,,N,N/A,12th October 5.00 pm,Pseudo-random,Development West Coast,N/A,"7,526",74,12,Contested,6,,18,3,801,497,6,33.30%,,,4,66.70%,4,,,,,,"4,792",15,0.31%,"4,807","6,648",72.30%,"4,792",15,"4,807","2,965",61.90%,17,113.30%,"2,982",62.00%,36,1.20%,3,17.60%,39,1.30%,36,100.00%,3,100.00%,39,100.00%,19,0.60%,79,2.60%,98,3.30%,4,22.20%,1,16.70%,
BULLER DISTRICT,BULLER DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,1,,2,2,"7,526","4,217",1,50.00%,,Re-elected,1,100.00%,1,,,,,,"7,491",35,0.47%,"7,526","10,473",71.90%,"7,491",35,"7,526","4,177",55.80%,40,114.30%,"4,217",56.00%,45,1.10%,3,7.50%,48,1.10%,45,100.00%,3,100.00%,48,100.00%,2,,167,4.00%,169,4.00%,0,,,,
BULLER DISTRICT,WEST COAST DEVELOPMENT TRUST,BULLER,OTHER,FPP,s,West Coast,Rural,District,,,,,,,,,,,Contested,1,,2,2,"7,518","4,209",,,,,,,,,2,100.00%,1,100.00%,"7,518",,,"7,518",,,"7,518",,"7,518","4,209",56.00%,32,,"4,209",56.00%,88,2.10%,,,88,2.10%,75,85.20%,,,75,85.20%,1,,393,9.30%,394,9.40%,1,50.00%,0,,
CANTERBURY DHB,CANTERBURY DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,s,Canterbury,DHB,DHB,,Y,9.18 pm,13th October 4.40 pm,Random,,,,,,Contested,7,,26,3.71,"48,290","20,417",,,,,,,,,6,23.10%,5,71.40%,"338,032",,,"338,032","507,500",66.60%,"338,032",,"338,032","142,922",42.30%,,,"142,922",42.30%,"1,314",0.90%,,,1314,0.90%,"1,125",85.60%,,,1125,85.60%,"11,774",8.20%,"14,933",10.40%,"26,707",18.70%,10,38.50%,3,42.90%,
CAPITAL COAST DHB,CAPITAL COAST DISTRICT HEALTH BOARD,AT LARGE,DHB,STV,n,Wellington,DHB,DHB,,N,N/A,12th October 9.26 pm,Random,,,,,,Contested,7,,23,3.29,"29,957","12,263",,,,,,,,,3,13.00%,3,42.90%,"209,702",,,"209,702","299,200",70.10%,"209,702",,"209,702","85,842",40.90%,,,"85,842",40.90%,"1,680",2.00%,,,1680,2.00%,"1,443",85.90%,,,1443,85.90%,"3,689",4.30%,"7,449",8.70%,"11,138",13.00%,10,43.50%,4,57.10%,
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,AT LARGE,DC,FPP,n,Wellington,Rural,District,,Y,2.30 pm,13th October 6.00 pm ,Alphabetical,N/A,N/A,"6,297",,10,Contested,8,,13,1.63,787,360,6,46.20%,,,5,62.50%,5,55.60%,,,,,"6,270",27,0.43%,"6,297","8,235",76.50%,"6,270",27,"6,297","2,856",45.60%,24,88.90%,"2,880",45.70%,30,1.10%,3,12.50%,33,1.10%,30,100.00%,3,100.00%,33,100.00%,19,0.70%,33,1.10%,52,1.80%,6,46.20%,3,37.50%,
CARTERTON DISTRICT,CARTERTON DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Wellington,Rural,District,,,,,,,,,,,Unopposed,1,1,1,1,"6,297",,,0.00%,,Re-elected,1,100.00%,1,,,,,,"6,270",27,0.43%,"6,297","8,235",76.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,ARAMOANA-RUAHINE,DC,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,Contested,4,,5,1.25,"1,143",632,4,80.00%,,,4,100.00%,4,,,,,,"4,546",24,0.53%,"4,570","6,339",72.10%,"4,546",24,"4,570","2,506",55.10%,23,95.80%,"2,529",55.30%,25,1.00%,3,13.00%,28,1.10%,21,84.00%,3,100.00%,24,85.70%,2,0.10%,60,2.40%,62,2.50%,1,20.00%,1,25.00%,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,RUATANIWHA,DC,FPP,n,Hawke's Bay,Rural,District,,Y,12.27 pm,13th October 6.04 pm,Alphabetical,N/A,N/A,"9,330",88,16,Contested,4,,7,1.75,"1,190",656,3,42.90%,,,2,50.00%,2,,,,,,"4,754",6,0.13%,"4,760","6,378",74.60%,"4,754",6,"4,760","2,616",55.00%,6,100.00%,"2,622",55.10%,29,1.10%,3,50.00%,32,1.20%,24,82.80%,3,100.00%,27,84.40%,3,0.10%,57,2.20%,60,2.30%,3,42.90%,1,25.00%,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,n,Hawke's Bay,Rural,District,,,,,,,,,,,Contested,1,,2,2,"9,330","5,153",0,0.00%,,Re-elected,1,100.00%,0,,,,,,"9,300",30,0.32%,"9,330","12,717",73.40%,"9,300",30,"9,330","5,124",55.10%,29,96.70%,"5,153",55.20%,54,1.10%,6,20.70%,60,1.20%,45,83.30%,6,100.00%,51,85.00%,1,,96,1.90%,97,1.90%,1,50.00%,0,,
CENTRAL OTAGO DISTRICT,CROMWELL COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,4,,9,2.25,"1,123",518,,,,,,,,,5,55.60%,2,50.00%,"4,457",34,0.76%,"4,491","6,018",74.60%,"4,457",34,"4,491","2,042",45.80%,29,85.30%,"2,071",46.10%,14,0.70%,9,31.00%,23,1.10%,14,100.00%,9,100.00%,23,100.00%,6,0.30%,16,0.80%,22,1.10%,2,22.20%,1,25.00%,
CENTRAL OTAGO DISTRICT,MANIOTOTO COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,4,4,4,1,313,,,,,,,,,,2,50.00%,2,50.00%,"1,214",38,3.04%,"1,252","1,686",74.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,50.00%,
CENTRAL OTAGO DISTRICT,TEVIOT VALLEY COMMUNITY BOARD,AT LARGE,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Unopposed,4,3,3,0.75,308,,,,,,,,,,2,66.70%,2,50.00%,"1,222",9,0.73%,"1,231","1,566",78.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,ALEXANDRA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,3,,7,2.33,"1,456",805,,,,,,,,,2,28.60%,1,33.30%,"4,352",17,0.39%,"4,369","5,364",,"4,352",17,"4,369","2,391",54.90%,24,141.20%,"2,415",55.30%,8,0.30%,9,37.50%,17,0.70%,8,100.00%,8,88.90%,16,94.10%,6,0.20%,112,4.60%,118,4.90%,3,42.90%,2,66.70%,
CENTRAL OTAGO DISTRICT,VINCENT COMMUNITY BOARD,EARNSCLEUGH-MANUHERIKIA,CB,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,2,,5,2.5,"1,293",719,,,,,,,,,1,20.00%,1,50.00%,"2,558",28,1.08%,"2,586","3,264",,"2,558",28,"2,586","1,410",55.10%,28,100.00%,"1,438",55.60%,7,0.50%,4,14.30%,11,0.80%,7,100.00%,4,100.00%,11,100.00%,3,0.20%,67,4.70%,70,4.90%,0,,0,,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,ALEXANDRA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,3,,6,2,"1,456",805,3,50.00%,,,2,66.70%,2,,4,66.70%,3,100.00%,"4,352",17,0.39%,"4,369","5,364",81.50%,"4,352",17,"4,369","2,391",54.90%,24,141.20%,"2,415",55.30%,8,0.30%,9,37.50%,17,0.70%,8,100.00%,8,88.90%,16,94.10%,3,0.10%,62,2.60%,65,2.70%,0,,,,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,CROMWELL,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,3,,5,1.67,"1,497",698,2,40.00%,,,1,33.30%,1,,4,80.00%,2,66.70%,"4,457",34,0.76%,"4,491","6,018",74.60%,"4,457",34,"4,491","2,056",46.10%,38,111.80%,"2,094",46.60%,14,0.70%,9,23.70%,23,1.10%,14,100.00%,9,100.00%,23,100.00%,6,0.30%,20,1.00%,26,1.20%,2,40.00%,1,33.30%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,EARNSCLEUGH-MANUHERIKIA,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,2,,4,2,"1,293",719,1,25.00%,,,1,50.00%,1,,1,25.00%,1,50.00%,"2,558",28,1.08%,"2,586","3,264",79.20%,"2,558",28,"2,586","1,410",55.10%,28,100.00%,"1,438",55.60%,7,0.50%,4,14.30%,11,0.80%,7,100.00%,4,100.00%,11,100.00%,1,0.10%,41,2.90%,42,2.90%,1,25.00%,1,50.00%,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,MANIOTOTO,DC,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,1,,2,2,"1,252",775,0,0.00%,,,,,,,,,,,"1,214",38,3.04%,"1,252","1,686",74.30%,"1,214",38,"1,252",739,60.90%,36,94.70%,775,61.90%,4,0.50%,1,2.80%,5,0.60%,4,100.00%,1,100.00%,5,100.00%,1,0.10%,12,1.50%,13,1.70%,0,,,,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,TEVIOT VALLEY,DC,FPP,s,Otago,Rural,District,,N,N/A,1.00 pm,Pseudo-random,Central Otago Health Inc.,N/A,"13,929",119,29,Unopposed,1,1,1,1,"1,231",,0,0.00%,,,0,0.00%,0,,1,100.00%,1,100.00%,"1,222",9,0.73%,"1,231","1,566",78.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT COUNCIL,AT LARGE,MAYOR,FPP,s,Otago,Rural,District,,,,,,,,,,,Contested,1,,2,2,"13,929","7,200",0,,,Re-elected,1,100.00%,1,,,,,,"13,803",126,0.90%,"13,929","17,898",77.80%,"13,803",126,"13,929","7,067",51.20%,133,105.60%,"7,200",51.70%,34,0.50%,23,17.30%,57,0.80%,34,100.00%,22,95.70%,56,98.20%,7,0.10%,240,3.30%,247,3.40%,1,50.00%,0,,
CHATHAM ISLANDS DISTRICT,CHATHAM ISLANDS TERRITORY COUNCIL,AT LARGE,DC,FPP,s,Chatham Islands,Rural,District,,N,N/A,,Alphabetical,N/A,N/A,373,0,0,Unopposed,8,8,8,1,"1,741",,6,75.00%,,,6,75.00%,6,77.80%,0,,0,,"13,803",126,0.90%,"13,929","17,898",77.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25.00%,2,25.00%,
CHATHAM ISLANDS DISTRICT,CHATHAM ISLANDS TERRITORY COUNCIL,AT LARGE,MAYOR,FPP,s,Chatham Islands,Rural,District,,,,,,,,,,,Contested,1,,2,2,373,203,0,0.00%,1,Re-elected,1,100.00%,1,,,,,,367,6,1.61%,373,600,62.20%,367,6,373,203,55.30%,,,203,54.40%,,,,,,,,,,,,,,,1,0.50%,1,0.50%,0,,0,,
CHRISTCHURCH CITY,AKAROA-WAIREWA COMMUNITY BOARD,AKAROA,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,3,,4,1.33,532,316,,,,,,,,,2,50.00%,1,33.30%,"1,385",210,13.17%,"1,595",,,"1,385",210,"1,595",827,59.70%,121,57.60%,948,59.40%,,,,,,,6,,,,6,,1,0.10%,20,2.10%,21,2.20%,3,75.00%,2,66.70%,
CHRISTCHURCH CITY,AKAROA-WAIREWA COMMUNITY BOARD,WAIREWA,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,2,,3,1.5,407,196,,,,,,,,,1,33.30%,1,50.00%,800,13,1.60%,813,,,800,13,813,382,47.80%,9,69.20%,391,48.10%,,,,,,,,,,,,,,,27,6.90%,27,6.90%,2,66.70%,1,50.00%,
CHRISTCHURCH CITY,BURWOOD-PEGASUS COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,13,2.6,"6,754","2,968",,,,,,,,,3,23.10%,3,60.00%,"33,745",23,0.07%,"33,768","47,682",70.80%,"33,745",23,"33,768","14,817",43.90%,21,91.30%,"14,838",43.90%,,,,,,,124,,,,124,,33,0.20%,827,5.60%,860,5.80%,5,38.50%,2,40.00%,
CHRISTCHURCH CITY,FENDALTON-WAIMAIRI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,9,1.8,"8,469","3,812",,,,,,,,,6,66.70%,4,80.00%,"42,303",41,0.10%,"42,344","56,169",75.40%,"42,303",41,"42,344","19,023",45.00%,37,90.20%,"19,060",45.00%,,,,,,,153,,,,153,,20,0.10%,"1,082",5.70%,"1,102",5.80%,5,55.60%,4,80.00%,
CHRISTCHURCH CITY,HAGLEY-FERRYMEAD COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,12,2.4,"6,809","2,698",,,,,,,,,3,25.00%,2,40.00%,"33,973",70,0.21%,"34,043","49,050",69.40%,"33,973",70,"34,043","13,427",39.50%,63,90.00%,"13,490",39.60%,,,,,,,187,,,,187,,37,0.30%,"1,099",8.10%,"1,136",8.40%,6,50.00%,4,80.00%,
CHRISTCHURCH CITY,LYTTELTON-MOUNT HERBERT COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,9,1.8,864,517,,,,,,,,,4,44.40%,3,60.00%,"4,257",65,1.50%,"4,322","5,650",76.50%,"4,257",65,"4,322","2,531",59.50%,53,81.50%,"2,584",59.80%,,,,,,,34,,,,34,,4,0.20%,82,3.20%,86,3.30%,4,44.40%,4,80.00%,
CHRISTCHURCH CITY,RICCARTON-WIGRAM COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,10,2,"8,725","3,532",,,,,,,,,3,30.00%,3,60.00%,"43,571",53,0.12%,"43,624","65,526",66.60%,"43,571",53,"43,624","17,611",40.40%,48,90.60%,"17,659",40.50%,,,,,,,115,,,,115,,26,0.10%,"1,095",6.20%,"1,121",6.30%,3,30.00%,3,60.00%,
CHRISTCHURCH CITY,SHIRLEY-PAPANUI COMMUNITY BOARD,AT LARGE,CB,FPP,s,Canterbury,Metro,City,l,,,,,,,,,,Contested,5,,16,3.2,"8,356","3,507",,,,,,,,,2,12.50%,1,20.00%,"41,737",42,0.10%,"41,779","59,349",70.40%,"41,737",42,"41,779","17,495",41.90%,40,95.20%,"17,535",42.00%,,,,,,,125,,,,125,,76,0.40%,"1,208",6.90%,"1,284",7.30%,6,37.50%,3,60.00%,
